Precio,Habitaciones,Baños,Parqueos,Sector,Condicion,Uso Actual,mt2,Piso/Nivel,Ascensor,Edificable,Agno Construccion,Planta Electrica,Seguridad 24 Horas,Control de Acceso,Piscina,Gimnasio,Medio baño
2150.0,2,2,2, Malecón,Segundo Uso,Residencial,184.0,14,True,False,2019,True,True,True,True,True,True
2900.0,2,2,3, Ensanche Naco,Segundo Uso,Residencial,168.0,7,True,False,2021,True,True,True,True,True,True
1740.0,3,3,2, Mirador Norte,Segundo Uso,Residencial,287.0,2,True,False,2012,True,True,False,True,True,True
1400.0,2,2,2, Piantini,Nueva,Residencial,125.0,4,True,False,2020,True,True,True,True,True,True
1400.0,2,2,2, Piantini,Nueva,Residencial,125.0,4,True,False,2020,False,False,False,False,False,True
1800.0,3,3,3, Los Cacicazgos,Segundo Uso,Residencial,210.0,3,True,False,2023,True,True,True,False,False,False
2000.0,2,2,2, Piantini,Segundo Uso,Residencial,145.0,5,True,False,2021,False,False,False,True,False,True
2200.0,2,2,2, Piantini,Segundo Uso,Residencial,145.0,5,True,False,2021,True,True,True,True,True,True
2300.0,3,3,2, Bella Vista,Nueva,Residencial,190.0,7,True,False,2024,True,True,True,True,True,True
2500.0,3,2,2, Serrallés,Segundo Uso,Residencial,177.0,5,True,False,2021,True,True,True,True,True,True
1500.0,3,3,2, Bella Vista,Nueva,Residencial,180.0,6,True,False,2022,True,True,True,True,False,True
1900.0,2,2,2, Piantini,Segundo Uso,Residencial,163.0,2,True,False,2021,True,True,True,True,True,True
1200.0,2,2,2, Evaristo Morales,Nueva,Residencial,88.0,8,True,False,2023,True,True,True,True,True,True
1800.0,2,2,2, Piantini,Segundo Uso,Residencial,151.0,4,True,False,2015,True,True,True,False,True,True
1500.0,3,3,2, Ensanche Paraíso,Segundo Uso,Residencial,167.0,4,True,False,2020,False,True,True,True,True,True
2500.0,3,2,2, Serrallés,Segundo Uso,Residencial,200.0,7,True,False,2021,True,True,False,True,True,True
